32003	14
32004	91
32006	172
32007	17
32008	21
32009	97
32011	12
32013	35
32024	10
32025	74
32026	155
32030	143
32033	148
32034	124
32035	106
32038	175
32040	176
32041	92
32042	81
32043	15
32044	83
32046	125
32050	93
32052	96
32053	94
32054	122
32055	99
32056	53
32058	200
32059	125
32060	163
32061	99
32062	78
32063	154
32064	41
32065	15
32066	141
32067	98
32068	140
32071	81
32072	162
32073	78
32079	183
32080	67
32081	137
32082	30
32083	100
32084	14
32085	79
32086	58
32087	162
32091	50
32092	188
32094	31
32095	196
32096	1
32097	88
32099	46
32102	16
32105	161
32110	135
32111	17
32112	79
32113	183
32114	100
32115	177
32116	83
32117	3
32118	181
32119	57
32120	169
32121	162
32122	97
32123	159
32124	100
32125	12
32126	159
32127	72
32128	34
32129	100
32130	58
32131	51
32132	57
32133	156
32134	58
32135	3
32136	48
32137	6
32138	168
32139	153
32140	7
32141	63
32142	71
32143	60
32145	60
32147	181
32148	169
32149	70
32157	126
32158	109
32159	141
32160	7
32162	125
32163	43
32164	150
32168	103
32169	87
32170	57
32173	41
32174	61
32175	90
32176	174
32177	89
32178	193
32179	138
32180	188
32181	23
32182	25
32183	152
32185	186
32187	175
32189	180
32190	20
32192	19
32193	191
32195	34
32198	34
32201	77
32202	12
32203	145
32204	192
32205	169
32206	100
32207	49
32208	172
32209	154
32210	139
32211	80
32212	49
32214	74
32215	126
32216	34
32217	85
32218	179
32219	67
32220	156
32221	69
32222	196
32223	110
32224	79
32225	183
32226	103
32227	185
32228	82
32229	4
32231	48
32232	140
32233	103
32234	165
32235	153
32236	91
32237	177
32238	157
32239	140
32240	6
32241	95
32244	82
32245	166
32246	141
32247	192
32250	74
32254	15
32255	148
32256	95
32257	133
32258	172
32259	16
32260	26
32266	86
32277	74
32301	58
32302	68
32303	80
32304	16
32305	136
32306	41
32307	7
32308	176
32309	3
32310	138
32311	89
32312	36
32313	48
32314	54
32315	189
32316	29
32317	184
32318	67
32320	163
32321	20
32322	104
32323	4
32324	54
32326	65
32327	54
32328	152
32329	175
32330	173
32331	71
32332	16
32333	88
32334	8
32335	188
32336	60
32337	132
32340	56
32341	50
32343	14
32344	119
32345	46
32346	81
32347	31
32348	24
32350	29
32351	33
32352	166
32353	172
32355	146
32356	150
32357	83
32358	3
32359	150
32360	158
32361	170
32362	14
32395	19
32399	141
32401	67
32402	168
32403	70
32404	193
32405	27
32406	98
32407	144
32408	90
32409	100
32410	158
32411	98
32412	43
32413	60
32417	106
32420	183
32421	110
32422	36
32423	126
32424	70
32425	11
32426	11
32427	3
32428	5
32430	56
32431	109
32432	12
32433	2
32434	200
32435	97
32437	79
32438	12
32439	13
32440	35
32442	190
32443	124
32444	110
32445	38
32446	108
32447	49
32448	5
32449	96
32452	93
32455	13
32456	167
32457	44
32459	53
32460	1
32461	92
32462	112
32463	157
32464	2
32465	124
32466	76
32501	52
32502	25
32503	188
32504	36
32505	5
32506	13
32507	110
32508	5
32509	77
32511	166
32512	197
32513	157
32514	80
32516	131
32520	65
32521	35
32522	2
32523	45
32524	188
32526	95
32530	191
32531	93
32533	81
32534	141
32535	11
32536	28
32537	156
32538	46
32539	71
32540	40
32541	138
32542	45
32544	122
32547	5
32548	133
32549	177
32550	79
32559	114
32560	140
32561	131
32562	127
32563	38
32564	70
32565	60
32566	3
32567	68
32568	156
32569	180
32570	80
32571	27
32572	83
32577	105
32578	178
32579	96
32580	144
32583	159
32588	99
32591	51
32601	9
32602	132
32603	167
32604	170
32605	113
32606	187
32607	139
32608	45
32609	107
32610	41
32611	2
32612	131
32614	53
32615	187
32616	91
32617	5
32618	176
32619	22
32621	54
32622	49
32625	153
32626	81
32627	182
32628	57
32631	156
32633	180
32634	73
32635	48
32639	56
32640	69
32641	45
32643	127
32644	44
32648	65
32653	93
32654	53
32655	20
32656	193
32658	194
32662	100
32663	69
32664	76
32666	34
32667	33
32668	106
32669	35
32680	82
32681	187
32683	137
32686	4
32692	184
32693	84
32694	91
32696	15
32697	142
32701	131
32702	84
32703	84
32704	13
32706	93
32707	100
32708	161
32709	1
32710	47
32712	127
32713	122
32714	90
32715	22
32716	187
32718	46
32719	114
32720	118
32721	172
32722	178
32723	87
32724	8
32725	138
32726	68
32727	131
32728	105
32730	84
32732	141
32733	99
32735	5
32736	89
32738	104
32739	181
32744	102
32745	101
32746	189
32747	38
32750	23
32751	42
32752	85
32753	102
32754	165
32756	108
32757	33
32759	122
32762	167
32763	147
32764	166
32765	92
32766	84
32767	86
32768	182
32771	17
32772	27
32773	55
32774	200
32775	32
32776	128
32777	194
32778	179
32779	87
32780	103
32781	17
32783	181
32784	134
32789	82
32790	122
32791	171
32792	163
32793	94
32794	86
32795	167
32796	54
32798	170
32799	137
32801	150
32802	54
32803	197
32804	6
32805	25
32806	147
32807	156
32808	23
32809	30
32810	27
32811	90
32812	147
32814	105
32815	65
32816	27
32817	71
32818	136
32819	2
32820	140
32821	87
32822	102
32824	55
32825	77
32826	74
32827	8
32828	69
32829	23
32830	88
32831	139
32832	84
32833	1
32834	88
32835	195
32836	6
32837	195
32839	91
32853	34
32854	55
32855	175
32856	156
32857	118
32858	53
32859	59
32860	59
32861	52
32862	191
32867	142
32868	2
32869	185
32872	44
32877	44
32878	125
32885	100
32886	110
32887	98
32891	46
32896	154
32897	160
32899	174
32901	70
32902	42
32903	163
32904	42
32905	107
32906	193
32907	124
32908	74
32909	140
32910	167
32911	32
32912	126
32919	122
32920	108
32922	188
32923	42
32924	150
32925	68
32926	68
32927	16
32931	8
32932	140
32934	147
32935	149
32936	70
32937	111
32940	125
32941	26
32948	175
32949	42
32950	157
32951	187
32952	101
32953	168
32954	87
32955	195
32956	180
32957	102
32958	100
32959	32
32960	161
32961	161
32962	61
32963	105
32964	79
32965	192
32966	190
32967	196
32968	176
32969	198
32970	128
32971	135
32976	182
32978	84
33001	194
33002	22
33004	73
33008	81
33009	36
33010	106
33011	87
33012	62
33013	65
33014	158
33015	94
33016	3
33017	82
33018	98
33019	169
